title,product_link,sku,offer_price,mrp,discount,emi_option
ASUS Vivobook 15 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ 15.6 inch (39.62 cm)/FHD Display/Intel UHD Graphics/ Win11/ MSOffice/ X1500EA-EJ327WS),https://www.vijaysales.com/asus-vivobook-15-laptop-11th-gen-core-i3-8gb-512gb-ssd-15-6-inches-39-62-cm-intel-uhd-graphics-windows-11-ms-office-x1500ea-ej327ws/24530,219462,"₹ 31,990","₹ 49,990",36% OFF,"Standard EMI From ₹ 1,551"
ASUS Vivobook 15 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ 15.6 inch (39.62 cm)/FHD Display/Intel UHD Graphics/ Win11/ MSOffice/ X1500EA-EJ327WS),https://www.vijaysales.com/asus-vivobook-15-laptop-11th-gen-core-i3-8gb-512gb-ssd-15-6-inches-39-62-cm-intel-uhd-graphics-windows-11-ms-office-x1500ea-ej327ws/24530,219462,"₹ 31,990","₹ 49,990",36% OFF,"Standard EMI From ₹ 1,551"
ASUS Vivobook 15 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ 15.6 inch (39.62 cm)/FHD Display/Intel UHD Graphics/ Win11/ MSOffice/ X1500EA-EJ327WS),https://www.vijaysales.com/asus-vivobook-15-laptop-11th-gen-core-i3-8gb-512gb-ssd-15-6-inches-39-62-cm-intel-uhd-graphics-windows-11-ms-office-x1500ea-ej327ws/24530,219462,"₹ 31,990","₹ 49,990",36% OFF,"Standard EMI From ₹ 1,551"
ASUS Vivobook 15 (12th Gen Core i3 / 8GB/ 512GB SSD/ 15.6 inch (39.62 cm)/ Back lit KB/Intel UHD Graphics/WiFi 6/ Win 11/ MSOffice) X1502ZA-EJ321WS,https://www.vijaysales.com/asus-vivobook-15-12th-gen-core-i3-8gb-512gb-ssd-15-6-inches-39-62-cm-intel-uhd-graphics-win-11-ms-office/24561,219627,"₹ 35,990","₹ 50,000",28% OFF,"Standard EMI From ₹ 1,745"
Asus Vivobook Go 14 Laptop (Ryzen 3 / 8 GB RAM / 512GB SSD/ 14 inch (35.56 cm) Display/Thin & Light/Radeon Graphics/ Win 11/ Office/E1404FA-NK321WS,https://www.vijaysales.com/asus-vivobook-go-14-e1404fa-nk321ws-laptop-amd-ryzen-3-8-gb-ram-512gb-ssd-14-inch-35-56-cm-display-amd-radeon-graphics-windows-11-office/23933,215619,"₹ 33,977","₹ 50,990",33% OFF,"Standard EMI From ₹ 1,647"
"ASUS TUF F17 Gaming Laptop (11th Gen Core i5/ 8GB RAM/ 512GB SSD/ 17""(43.94 cm)/ NVIDIA GeForce RTX 2050 Graphics/ Win 11/ MSOffice) FX706HFHX044WS",https://www.vijaysales.com/asus-tuf-f17-gaming-laptop-11th-gen-core-i5-8gb-ram-512gb-ssd-17-43-94-cm-nvidia-geforce-rtx-2050-graphics-win-11-msoffice-fx706hfhx044ws/26226,225492,"₹ 51,990","₹ 75,990",32% OFF,"Standard EMI From ₹ 2,520"
ASUS TUF Gaming F15 Laptop (11th Gen Core i5 / 8 GB / 512 GB SSD/ 15.6 inch (39.62 cm) FHD Display/ 4GB Graphics/ Win 11/ MSOffice) FX506HF-HN024WS,https://www.vijaysales.com/asus-tuf-gaming-f15-fx506hf-hn024ws-laptop-11th-gen-core-i5-8-gb-ram-512-gb-ssd-15-6-inches-39-62-cm-display-4gb-graphics-win-11-office/24355,218415,"₹ 51,990","₹ 77,990",33% OFF,"Standard EMI From ₹ 2,520"
"ASUS TUF Gaming F17 (12th Gen Core i5/ 8GB RAM/ 512GB SSD/ 17.3"" (43.94 cm) FHD Display/ NVIDIA GeForce RTX Graphics/ Win 11/ Office) FX707ZC4HX048WS",https://www.vijaysales.com/asus-tuf-gaming-f17-12th-gen-core-i5-8gb-ram-512gb-ssd-17-3-inch-43-94-cm-mux-switch-optimus-nvidia-geforce-rtx-graphics-win-11-office/25642,221478,"₹ 69,990","₹ 1,03,990",33% OFF,"Standard EMI From ₹ 3,393"
ASUS VivoBook 15 Laptop 2023(12th Gen Core i7 1255U /16GB RAM/ 512GB SSD/ 15.6 inch(39.62 cm)/ Iris Xe Graphics/ Win11/ MSOffice) X1502ZA-EJ743WS,https://www.vijaysales.com/asus-vivobook-15-laptop-12th-gen-intel-core-i7-16gb-ram-512gb-ssd-15-6-inch-39-62-cm-iris-xe-graphics-windows-11-ms-office-x1502za-ej743ws/25371,220656,"₹ 59,990","₹ 80,990",26% OFF,"Standard EMI From ₹ 2,908"
"Asus ROG Strix G15 Gaming Laptop (AMD Ryzen 7/ 16GB RAM/ 1 TB SSD/ 15.6 "" (39.62 cm) FHD 144 Hz Display/ 4GB Graphics/ Win11/ Office)HN251WS",https://www.vijaysales.com/asus-rog-strix-g15-g513rc-hn251ws-gaming-laptop-amd-ryzen-7-16gb-ram-1-tb-ssd-15-6-inches-39-62-cm-display-4gb-graphics-win11-office/25395,221437,"₹ 83,990","₹ 1,17,990",29% OFF,"Standard EMI From ₹ 4,072"
