Title of the book,Author/s,Book_type,Original Price(RRP),Discount Price,ISBN-10,Published Date,Publisher,No of pages
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Sarmatian,Peter Darman,ePUB,6.33,6.33,9780463866795,2019-07-18,Peter Darman,
Daughter,Jane Shemilt,ePUB,15.99,15.99,9781405915304,2014-08-28,Penguin Books Ltd,368
Tom Clancy's Full Force and Effect,Mark Greaney,ePUB,15.99,15.99,9781405919289,2014-12-04,Penguin Books Ltd,688
Cold Comfort Farm,Stella Gibbons,ePUB,15.99,15.99,9780141920078,2006-10-26,Penguin Books Ltd,256
Freeze,Justine Pattison,ePUB,19.99,19.99,9780297865186,2013-03-14,Orion,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Trinity,Conn Iggulden,ePUB,14.99,14.99,9780718196370,2014-09-25,Penguin Books Ltd,432
Sons of Fortune,Jeffrey Archer,ePUB,13.95,10.4,9780330514217,2009-08-21,None,608
The Diamond Hunters,Wilbur Smith,ePUB,12.35,8.95,9780330466257,2008-09-04,None,
Cold Comfort Farm,Stella Gibbons,ePUB,15.99,15.99,9780141920078,2006-10-26,Penguin Books Ltd,256
Healing Back Pain,John E. Sarno M.D.,Paperback,35.5,35.5,9780446392303,1991-02-01,Little Brown,208
Book not found,,,,,,,,
The Hanging Valley,Peter Robinson,ePUB,12.35,8.95,9780330514620,2009-08-21,None,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Elantris,Brandon Sanderson,ePUB,11.99,11.99,9780575097452,2011-08-11,Orion,656
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Book not found,,,,,,,,
Cold Comfort Farm,Stella Gibbons,ePUB,15.99,15.99,9780141920078,2006-10-26,Penguin Books Ltd,256
Daughter,Jane Shemilt,ePUB,15.99,15.99,9781405915304,2014-08-28,Penguin Books Ltd,368
Freeze,Justine Pattison,ePUB,19.99,19.99,9780297865186,2013-03-14,Orion,
Sarmatian,Peter Darman,ePUB,6.33,6.33,9780463866795,2019-07-18,Peter Darman,
Elantris,Brandon Sanderson,ePUB,11.99,11.99,9780575097452,2011-08-11,Orion,656
Book not found,,,,,,,,
Flying Colours,C.S. Forester,ePUB,15.99,15.99,9780141959214,2006-10-05,Penguin Books Ltd,272
Tom Clancy's Full Force and Effect,Mark Greaney,ePUB,15.99,15.99,9781405919289,2014-12-04,Penguin Books Ltd,688
Healing Back Pain,John E. Sarno M.D.,Paperback,35.5,35.5,9780446392303,1991-02-01,Little Brown,208
Book not found,,,,,,,,
Trinity,Conn Iggulden,ePUB,14.99,14.99,9780718196370,2014-09-25,Penguin Books Ltd,432
The Diamond Hunters,Wilbur Smith,ePUB,12.35,8.95,9780330466257,2008-09-04,None,
Sons of Fortune,Jeffrey Archer,ePUB,13.95,10.4,9780330514217,2009-08-21,None,608
The Hanging Valley,Peter Robinson,ePUB,12.35,8.95,9780330514620,2009-08-21,None,
The Thread,Victoria Hislop,ePUB,11.99,11.99,9780755377770,2011-10-27,Headline,360
Animal Farm,George Orwell,ePUB,4.79,4.79,9780547370224,2009-07-01,HarperCollins,
Hard Girls,Martina Cole,ePUB,11.99,11.99,9780755371549,2009-10-29,Headline,300
Tom Clancy Support and Defend,Mark Greaney,ePUB,40.9,40.9,9780698185357,2014-07-22,None,1
Hold Me Tight,Dr Sue Johnson,ePUB,15.99,15.99,9780748126323,2011-02-03,"Little, Brown Book Group",320
Lancashire Lass,Anna Jacobs,Paperback,27.95,27.95,9780340748275,2001-02-01,Hodder & Stoughton,416
