Title of the book,Author/s,Book_type,Original Price(RRP),Discount Price,ISBN-10,Published Date,Publisher,No of pages
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,9780007461240,2012-07-01,HarperCollins Publishers,224
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,9780007461240,2012-07-01,HarperCollins Publishers,224
Blood Meridian,Cormac McCarthy,ePUB,10.3,9.01,9780307762528,2010-08-11,Knopf Doubleday Publishing Group,
Star Trek,Diane Duane,ePUB,5.99,5.99,9780743422277,2001-12-03,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,ePUB,15.99,15.99,9780241290002,2017-04-06,Penguin Books Ltd,256
Book not found
Across the Seas,Griff Hosker,ePUB,9.19,9.19,9780463983096,2019-03-04,Griff Hosker,
American Royals,Katharine McGee,ePUB,9.99,9.99,9780241365984,2019-09-01,Penguin Random House Children's UK,368
Battle of Okinawa,George Feifer,E-Book,0.0,0.0,9781322117171,2001-01-01,Lyons Press,531
Homage to Catalonia,George Orwell,ePUB,15.99,15.99,9780141911717,2003-06-05,Penguin Books Ltd,272
The Twits,Roald Dahl,ePUB,9.99,9.99,9780141930169,2007-09-06,Penguin Random House Children's UK,112
"Red, White & Royal Blue",Casey McQuiston,ePUB,17.81,14.29,9781250316783,2019-05-14,St. Martin's Publishing Group,
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,9780007461240,2012-07-01,HarperCollins Publishers,224
Blood Meridian,Cormac McCarthy,ePUB,10.3,9.01,9780307762528,2010-08-11,Knopf Doubleday Publishing Group,
Star Trek,Diane Duane,ePUB,5.99,5.99,9780743422277,2001-12-03,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,ePUB,15.99,15.99,9780241290002,2017-04-06,Penguin Books Ltd,256
Book not found
Across the Seas,Griff Hosker,ePUB,9.19,9.19,9780463983096,2019-03-04,Griff Hosker,
American Royals,Katharine McGee,ePUB,9.99,9.99,9780241365984,2019-09-01,Penguin Random House Children's UK,368
Battle of Okinawa,George Feifer,E-Book,0.0,0.0,9781322117171,2001-01-01,Lyons Press,531
Homage to Catalonia,George Orwell,ePUB,15.99,15.99,9780141911717,2003-06-05,Penguin Books Ltd,272
The Twits,Roald Dahl,ePUB,9.99,9.99,9780141930169,2007-09-06,Penguin Random House Children's UK,112
"Red, White & Royal Blue",Casey McQuiston,ePUB,17.81,14.29,9781250316783,2019-05-14,St. Martin's Publishing Group,
The Great Hunt,Robert Jordan,ePUB,11.99,11.99,9780748115358,2009-11-17,"Little, Brown Book Group",736
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,ePUB,9.99,9.99,9780141342436,2015-10-06,Penguin Random House Children's UK,528
Boy,Roald Dahl,ePUB,9.99,9.99,9780141903125,2008-09-04,Penguin Random House Children's UK,192
Angels,Marian Keyes,ePUB,15.99,15.99,9780141928685,2005-03-31,Penguin Books Ltd,496
The Lost (Paula Maguire 1),Claire McGowan,ePUB,11.99,11.99,9780755386390,2013-04-11,Headline,305
Book not found
Anxiety,Joshua Fletcher,ePUB,9.38,9.38,9781310517228,2016-03-22,Joshua Fletcher,
George Washington's Secret Six,Brian Kilmeade,ePUB,23.99,19.99,9780698137653,2013-11-05,Penguin Publishing Group,288
Driving Over Lemons,Chris Stewart,ePUB,7.69,6.92,9780956308641,2011-08-08,Sort Of Books,304
Jamie's Food Tube,Gennaro Contaldo,ePUB,14.99,14.99,9781405921107,2015-07-02,Penguin Books Ltd,128
The Name of the Wind,Patrick Rothfuss,ePUB,12.99,12.99,9780575087057,2010-04-22,Orion,672
Darkfever,Karen Marie Moning,ePUB,14.66,11.99,9780440336358,2006-10-31,Random House Publishing Group,
Kiss,Jill Mansell,Paperback,26.99,25.95,9780755332557,2007-05-10,Headline,512
Business Model Generation,Alexander Osterwalder,PDF,45.09,45.09,9780470901038,2010-07-23,Wiley Professional Development (P&T),288
The Wrath and the Dawn,Renée| Ahdieh,ePUB,25.5,25.5,9780698185890,2015-05-12,None,416
The Night Stalker,Chris Carter,ePUB,12.99,12.99,9780857202994,2011-08-18,Simon & Schuster UK,464
The Jury Master,Robert Dugoni,ePUB,17.99,17.99,9780446539654,2008-07-15,Grand Central Publishing,300
"The Dragon's Mountain, Book One",Mark Mulle,ePUB,0.0,0.0,9781310869686,2015-05-19,Mark Mulle,
The Book of Why,Judea Pearl,ePUB,16.99,16.99,9780241242643,2018-05-15,Penguin Books Ltd,400
Blow Fly,Patricia Cornwell,ePUB,11.99,11.99,9780748109265,2008-09-04,"Little, Brown Book Group",544
The Sapphire Widow,Dinah Jefferies,ePUB,15.99,15.99,9780241980750,2018-04-05,Penguin Books Ltd,400
Aftermath,Peter Robinson,ePUB,12.35,8.95,9780330469364,2008-09-04,None,
Couples That Work,Jennifer Petriglieri,ePUB,18.99,18.99,9780241379011,2019-10-10,Penguin Books Ltd,304
Time of Contempt,Andrzej Sapkowski,ePUB,12.99,12.99,9780575088436,2013-06-24,Orion,320
Typhoon Fury,Clive Cussler,ePUB,15.99,15.99,9781405927697,2017-11-16,Penguin Books Ltd,480
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,ePUB,12.99,12.99,9780755350841,2008-09-04,Headline,448
The Divine Comedy,Dante Alighieri,ePUB,25.7,20.99,9781101117996,2003-05-27,Penguin Publishing Group,928
A Maiden's Grave,Jeffery Deaver,ePUB,8.55,7.99,9781101209356,2000-01-01,Penguin Publishing Group,
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,11.99,11.99,9780755373970,2012-01-05,Headline,451
The Snow Child,Eowyn Ivey,ePUB,12.99,12.99,9780755380558,2012-02-01,Headline,318
The Hunger Games (USA Edition),Suzanne Collins,Hardcover,44.9,44.9,9780439023481,2008-10-01,Scholastic US,384
Made Things,Adrian Tchaikovsky,ePUB,6.22,5.99,9781250232984,2019-11-05,Tor Publishing Group,
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,ePUB,12.99,12.99,9780141926902,2008-05-01,Penguin Random House Children's UK,288
Conversations with Friends,Sally Rooney,ePUB,16.49,14.99,9780571333141,2017-05-25,Faber & Faber,272
Strata,Terry Pratchett,ePUB,14.99,14.99,9781407035536,2009-11-24,Transworld,288
Misbehaving,Richard H. Thaler,ePUB,16.99,16.99,9780141966151,2015-05-07,Penguin Books Ltd,256
Book not found
Surrender Experiment,Michael A Singer,E-Book,0.0,0.0,9780804141116,2015-01-01,Potter/Tenspeed/Harmony,
My East End,Gilda O'Neill,ePUB,15.99,15.99,9780141929385,2000-09-28,Penguin Books Ltd,384
Dork Diaries,Rachel Renee Russell,Paperback,16.99,16.25,9781471144011,2015-06-02,Simon & Schuster UK,304
The Promise,Lesley Pearse,ePUB,15.99,15.99,9780141964089,2012-01-19,Penguin Books Ltd,528
Artemis Fowl and The Arctic Incident,Eoin Colfer,ePUB,9.99,9.99,9780141929576,2002-06-06,Penguin Random House Children's UK,336
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,ePUB,15.99,15.99,9780141957869,2010-09-02,Penguin Books Ltd,304
Excalibur,Bernard Cornwell,ePUB,15.99,15.99,9780141929743,2007-11-01,Penguin Books Ltd,496
Myers+Chang at Home,Joanne Chang,ePUB,46.19,36.99,9780544836730,2024-03-19,HarperCollins,320
Click,Kayla Miller,ePUB,18.69,14.95,9781328527905,2019-01-08,HMH Books,
Mastering Color Knitting,Melissa Leapman,ePUB,15.42,12.99,9780307965493,2011-07-13,Clarkson Potter/Ten Speed,
Son,Lois Lowry,ePUB,20.89,15.95,9780547928517,2012-10-02,None,400
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,ePUB,17.59,16.99,9780646987286,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
Dubliners,James Joyce,ePUB,8.55,7.99,9781101042182,2007-02-06,Penguin Publishing Group,272
Stitch 'N Bitch Crochet,Debbie Stoller,ePUB,23.99,23.99,9780761174981,2006-02-13,Workman Publishing Company,250
Walk Into Silence,Susan McBride,ePUB,5.75,5.75,9781365501210,2016-11-01,None,
Lord of Chaos,Robert Jordan,ePUB,12.99,12.99,9780748115396,2010-03-16,"Little, Brown Book Group",1056
A Wartime Christmas,Carol Rivers,ePUB,8.99,8.99,9780857208347,2013-08-01,Simon & Schuster UK,464
Blood Ties,Samantha Hayes,ePUB,12.99,12.99,9780755376605,2010-03-04,Headline,307
Infinity Gauntlet,Jim Starlin,ePUB,16.12,12.99,9780785170655,2014-05-28,Marvel Entertainment,
No Way Back,M. J. Arlidge,ePUB,2.99,2.99,9781405926959,2016-08-08,Penguin Books Ltd,40
Feel Better In 5,Dr Rangan Chatterjee,ePUB,19.99,19.99,9780241397817,2019-12-26,Penguin Books Ltd,272
Nine Perfect Strangers,Liane Moriarty,ePUB,14.99,14.99,9781405919470,2018-10-04,Penguin Books Ltd,
The Fishermen,Chigozie Obioma,E-Book,0.0,0.0,9780316338363,2015-04-14,Little Brown and Company,352
Escaping Destiny,Amelia Hutchins,ePUB,6.99,6.99,9780991190928,2015-07-30,Amelia Hutchins,
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,ePUB,12.99,12.99,9780141967561,2012-10-02,Penguin Random House Children's UK,592
The Five Dysfunctions of a Team,Patrick M. Lencioni,ePUB,32.99,32.99,9780470893869,2010-06-03,Wiley Professional Development (P&T),240
Christmas Bells,Jennifer Chiaverini,ePUB,18.85,15.99,9780698407091,2015-10-27,Penguin Publishing Group,
The 7 Habits Of Highly Effective Teenagers,Sean Covey,ePUB,16.99,16.99,9780857206473,2011-03-31,Simon & Schuster UK,288
Book not found
Book not found
Lucy Sullivan is Getting Married,Marian Keyes,ePUB,15.99,15.99,9781405935166,2017-07-13,Penguin Books Ltd,672
The Beach,Alex Garland,ePUB,15.99,15.99,9780141941448,2007-07-05,Penguin Books Ltd,448
The Green Mile,Stephen King,ePUB,13.99,13.99,9780575087309,2010-11-25,Orion,448
Persuasion,Jane Austen,ePUB,3.99,3.99,9780553904567,2008-01-29,Random House Publishing Group,
The Crowded Grave,Martin Walker,ePUB,11.99,11.99,9780857389572,2011-10-29,Quercus,320
Eeny Meeny,M. J. Arlidge,ePUB,15.99,15.99,9781405914895,2014-05-08,Penguin Books Ltd,464
Tao Te Ching,Lao Tzu,ePUB,10.99,10.99,9780141922324,2000-01-01,Penguin Books Ltd,192
Bonk,Mary Roach,ePUB,17.5,15.95,9780393069211,2009-04-06,None,336
The Cake Bible,Rose Levy Beranbaum,ePUB,42.99,42.99,9780544859562,2016-09-06,HarperCollins,560
Midnight in the Garden of Good and Evil,John Berendt,ePUB,3.99,3.99,9780307538376,2010-05-12,Knopf Doubleday Publishing Group,
The Rainmaker,John Grisham,ePUB,15.99,15.99,9781407059198,2010-04-21,Random House,720
The Murder Room,P. D. James,ePUB,14.29,12.99,9780571247035,2008-09-04,Faber & Faber,320
Thor,Jason Aaron,ePUB,13.19,10.99,9781302013769,2014-04-02,Marvel Entertainment,
Fatal Cut,June Hampson,ePUB,11.99,11.99,9781409106968,2009-04-16,Orion,320
The Queen and I,Sue Townsend,ePUB,15.99,15.99,9780141938332,2002-11-28,Penguin Books Ltd,288
Book not found
All the Bright Places,Jennifer Niven,ePUB,12.99,12.99,9780141357041,2015-01-08,Penguin Random House Children's UK,300
The Prize,Julie Garwood,ePUB,17.14,13.99,9781101533475,2011-07-05,Penguin Publishing Group,1
Born Fearless,Phil Campion,ePUB,12.99,12.99,9780857384416,2011-09-25,Quercus,352
Alone in Berlin,Hans Fallada,ePUB,15.99,15.99,9780141908731,2010-01-28,Penguin Books Ltd,608
Exit West,Mohsin Hamid,ePUB,15.99,15.99,9780241979075,2017-03-02,Penguin Books Ltd,240
Night Watch,Terry Pratchett,ePUB,15.99,15.99,9781407035321,2009-12-01,Transworld,480
Safe Haven,Nicholas Sparks,ePUB,11.99,11.99,9780748122660,2010-09-02,"Little, Brown Book Group",320
The Autobiography of Saint Therese,John Beevers,ePUB,22.01,17.99,9780307778086,2011-01-26,Random House Publishing Group,
The Bhagavad Gita,Laurie L. Patton,ePUB,14.99,14.99,9780141396217,2014-05-01,Penguin Books Ltd,288
My Mother's Secret,J.L. Witterick,ePUB,23.99,19.99,9780698151529,2013-09-05,Penguin Publishing Group,208
The Language Instinct,Steven Pinker,ePUB,16.99,16.99,9780141929682,2003-02-27,Penguin Books Ltd,496
The Spy and the Traitor,Ben Macintyre,Hardcover,43.75,43.75,9781101904190,2018-09-18,Crown Publishing Group (NY),368
Ancillary Sword,Ann Leckie,ePUB,11.99,11.99,9781405525855,2014-10-07,"Little, Brown Book Group",384
Harriet Tubman,Catherine Clinton,ePUB,21.99,21.99,9780759509771,2004-02-02,"Little, Brown and Company",300
The Art of Statistics,David Spiegelhalter,ePUB,15.99,15.99,9780241258750,2019-03-28,Penguin Books Ltd,256
