,stars,displayName,numberOfReviews,trustScore,address,city,zipcode,country,website,email,phone,agency_type
0,4.0,Allianz Partners USA,82240,4.2,9950 Mayland Drive,Richmond,23233,United States,http://www.allianztravelinsurance.com,help.team@allianzassistance.com,1-866-884-3556,"Financial Consultant,Insurance Agency,Travel Insurance Company,Travel Agency"
1,5.0,AARDY,25453,4.9,1200 South Pine Island Road,Plantation,FL 33324,United States,https://www.aardy.com/,Info@Aardy.com,6504926298,"Financial Consultant,Travel Agency,Insurance Agency,Travel Insurance Company"
2,4.0,QEEQ.COM,12298,4.2,,,,United States,http://www.qeeq.com,support@qeeq.com,,"Tourist Attraction,Car Rental Agency,Travel Insurance Company"
3,4.5,IMG®,11458,4.6,9200 Keystone Crossing,Indianapolis,46240,United States,https://imglobal.com,ratingsandreviews@imglobal.com,1-317-655-4500,"Travel Insurance Company,Insurance Company"
4,4.5,VisitorsCoverage Inc.,6146,4.7,"2350 Mission College Blvd, STE 1140",Santa Clara,95054,United States,https://www.VisitorsCoverage.com,support@visitorscoverage.com,1.866.384.9104,"Travel Agency,Travel Insurance Company"
5,4.0,Seven Corners,5259,4.2,303 Congressional Blvd,"Carmel, IN",46032,United States,http://sevencorners.com,customerservice@sevencorners.com,1.800.335.0611,"Insurance Company,Travel Insurance Company,Insurance Agency"
6,5.0,TripInsure101,3145,4.9,,,,United States,https://www.tripinsure101.com,agent@TripInsure101.com,+1(650) 397-6592,"Travel Insurance Company,Insurance Agency,Travel Agency,Financial Consultant"
7,4.0,Heymondo Travel Insurance,2175,4.2,,,,United States,http://heymondo.com,hello@heymondo.com,,"Insurance Broker,Insurance Agency,Travel Insurance Company,Insurance Company"
8,4.5,Arch RoamRight,1710,4.5,"Executive Plaza IV, 11350 McCormick Road, Suite 102","Hunt Valley, MD",21031,United States,http://www.roamright.com,customerservice@roamright.com,1-800-699-3845,"Travel Insurance Company,Travel Agency"
9,5.0,MexiPass International Insurance Services,1619,4.9,"123 North Lake Ave, Suite 101",Pasadena,91101,United States,https://www.mexipass.com,marketing@mexipass.com,18006394727,"Insurance Broker,Insurance Agency,Travel Insurance Company,Travel Agency"
