businessUnitId,stars,identifyingName,displayName,logoUrl,numberOfReviews,trustScore,location,isRecommendedInCategories,contact,categories
512ff42d0000640005231eb5,4.0,www.allianztravelinsurance.com,Allianz Partners USA,//s3-eu-west-1.amazonaws.com/tpd/logos/512ff42d0000640005231eb5/0x0.png,82240,4.2,"{'address': '9950 Mayland Drive', 'city': 'Richmond', 'zipCode': '23233', 'country': 'United States'}",True,"{'website': 'http://www.allianztravelinsurance.com', 'email': 'help.team@allianzassistance.com', 'phone': '1-866-884-3556'}","[{'categoryId': 'financial_consultant', 'displayName': 'Financial Consultant', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}]"
57bb01a20000ff000593c520,5.0,aardy.com,AARDY,//s3-eu-west-1.amazonaws.com/tpd/logos/57bb01a20000ff000593c520/0x0.png,25453,4.9,"{'address': '1200 South Pine Island Road', 'city': 'Plantation', 'zipCode': 'FL 33324', 'country': 'United States'}",True,"{'website': 'https://www.aardy.com/', 'email': 'Info@Aardy.com', 'phone': '6504926298'}","[{'categoryId': 'financial_consultant', 'displayName': 'Financial Consultant', 'isPredicted': False}, {'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}]"
592ecff30000ff0005a394d0,4.0,qeeq.com,QEEQ.COM,//s3-eu-west-1.amazonaws.com/tpd/logos/592ecff30000ff0005a394d0/0x0.png,12298,4.2,"{'address': None, 'city': None, 'zipCode': None, 'country': 'United States'}",False,"{'website': 'http://www.qeeq.com', 'email': 'support@qeeq.com', 'phone': None}","[{'categoryId': 'tourist_attraction', 'displayName': 'Tourist Attraction', 'isPredicted': False}, {'categoryId': 'car_rental_agency', 'displayName': 'Car Rental Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}]"
59fe14ee0000ff0005af8b12,4.5,imglobal.com,IMG®,//s3-eu-west-1.amazonaws.com/tpd/logos/59fe14ee0000ff0005af8b12/0x0.png,11458,4.6,"{'address': '9200 Keystone Crossing', 'city': 'Indianapolis', 'zipCode': '46240', 'country': 'United States'}",True,"{'website': 'https://imglobal.com', 'email': 'ratingsandreviews@imglobal.com', 'phone': '1-317-655-4500'}","[{'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'insurance_company', 'displayName': 'Insurance Company', 'isPredicted': False}]"
5538900b0000ff00057ef2f8,4.5,visitorscoverage.com,VisitorsCoverage Inc.,//s3-eu-west-1.amazonaws.com/tpd/logos/5538900b0000ff00057ef2f8/0x0.png,6146,4.7,"{'address': '2350 Mission College Blvd, STE 1140', 'city': 'Santa Clara', 'zipCode': '95054', 'country': 'United States'}",True,"{'website': 'https://www.VisitorsCoverage.com', 'email': 'support@visitorscoverage.com', 'phone': '1.866.384.9104'}","[{'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}]"
58a8d2fa0000ff00059cf001,4.0,sevencorners.com,Seven Corners,//s3-eu-west-1.amazonaws.com/tpd/logos/58a8d2fa0000ff00059cf001/0x0.png,5259,4.2,"{'address': '303 Congressional Blvd', 'city': 'Carmel, IN', 'zipCode': '46032', 'country': 'United States'}",True,"{'website': 'http://sevencorners.com', 'email': 'customerservice@sevencorners.com', 'phone': '1.800.335.0611'}","[{'categoryId': 'insurance_company', 'displayName': 'Insurance Company', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}]"
6287be3ead65d4e739997792,5.0,tripinsure101.com,TripInsure101,//s3-eu-west-1.amazonaws.com/tpd/logos/6287be3ead65d4e739997792/0x0.png,3145,4.9,"{'address': None, 'city': None, 'zipCode': None, 'country': 'United States'}",True,"{'website': 'https://www.tripinsure101.com', 'email': 'agent@TripInsure101.com', 'phone': '+1(650) 397-6592'}","[{'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}, {'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}, {'categoryId': 'financial_consultant', 'displayName': 'Financial Consultant', 'isPredicted': False}]"
5f79d7763f285d0001f965e7,4.0,heymondo.com,Heymondo Travel Insurance,//s3-eu-west-1.amazonaws.com/tpd/logos/5f79d7763f285d0001f965e7/0x0.png,2175,4.2,"{'address': None, 'city': None, 'zipCode': None, 'country': 'United States'}",True,"{'website': 'http://heymondo.com', 'email': 'hello@heymondo.com', 'phone': None}","[{'categoryId': 'insurance_broker', 'displayName': 'Insurance Broker', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'insurance_company', 'displayName': 'Insurance Company', 'isPredicted': False}]"
511e70a60000640005226a52,4.5,www.roamright.com,Arch RoamRight,//s3-eu-west-1.amazonaws.com/tpd/logos/511e70a60000640005226a52/0x0.png,1710,4.5,"{'address': 'Executive Plaza IV, 11350 McCormick Road, Suite 102', 'city': 'Hunt Valley, MD', 'zipCode': '21031', 'country': 'United States'}",True,"{'website': 'http://www.roamright.com', 'email': 'customerservice@roamright.com', 'phone': '1-800-699-3845'}","[{'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}]"
59b15d030000ff0005aaa180,5.0,www.mexipass.com,MexiPass International Insurance Services,//s3-eu-west-1.amazonaws.com/tpd/logos/59b15d030000ff0005aaa180/0x0.png,1619,4.9,"{'address': '123 North Lake Ave, Suite 101', 'city': 'Pasadena', 'zipCode': '91101', 'country': 'United States'}",True,"{'website': 'https://www.mexipass.com', 'email': 'marketing@mexipass.com', 'phone': '18006394727'}","[{'categoryId': 'insurance_broker', 'displayName': 'Insurance Broker', 'isPredicted': False}, {'categoryId': 'insurance_agency', 'displayName': 'Insurance Agency', 'isPredicted': False}, {'categoryId': 'travel_insurance_company', 'displayName': 'Travel Insurance Company', 'isPredicted': False}, {'categoryId': 'travel_agency', 'displayName': 'Travel Agency', 'isPredicted': False}]"
